"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"62","time","uniform","3","400","1","Dionysus","255.842034169007","255.830213186098","256.048753274023","255.693188161007","259.127949991031","253.933232760057","255.449458340998","256.526992324973","254.08750262903","254.249396504951"
"63","time","uniform","4","400","1","Dionysus","449.280116279959","447.26552433602","439.159956395044","448.726904678042","438.218030111981","441.548296815017","438.581223436049","436.50675646693","434.893449468073","445.61265176197"
"64","time","uniform","5","400","1","Dionysus","424.218846422038","422.837323109037","425.912633597036","425.083170201164","425.770188783994","422.741363057983","425.740897933021","423.147317141062","421.138250316144","422.301185010001"
"65","time","uniform","2","425","1","Dionysus","805.301003705012","816.378821389051","808.260222222074","808.911534012994","806.994569500093","807.362869980978","808.331429142971","808.473351505003","807.645611720975","808.624354573083"
"66","time","uniform","3","425","1","Dionysus","662.900411195005","666.359292558976","662.881465080078","666.292678948026","662.93029595702","659.008125807042","661.05560738896","661.228453662945","664.488103813957","659.990781944012"
"67","time","uniform","4","425","1","Dionysus","486.881878264947","487.968857938075","490.171428652946","488.794040850014","489.941089384956","489.658083719085","489.526612374","489.511249742005","488.954571550945","489.202160823974"
"68","time","uniform","5","425","1","Dionysus","522.559164083097","522.098214854021","521.301107960055","522.344349640072","524.324712850037","522.567817061092","523.645473357989","522.564186668955","525.335018715938","521.796365616028"
"69","time","uniform","2","450","1","Dionysus","898.367840843974","901.665313869016","899.337563987006","899.200093007996","896.656566086924","894.297386432998","895.06773319596","891.345954105956","887.759849491995","892.191938829958"
"70","time","uniform","3","450","1","Dionysus","605.165921707987","595.193641808","605.996183588053","601.245865401928","607.641153260949","598.258386164904","604.522391823935","602.915796739981","601.803090244066","596.617410272011"
"71","time","uniform","4","450","1","Dionysus","635.777971552103","639.055435494054","639.305026542046","640.556533923955","641.539090004982","638.206891273032","637.655114377965","641.728201844031","640.880351552973","638.11457801098"
"72","time","uniform","5","450","1","Dionysus","573.175991357071","572.330410061986","568.584373089019","569.600874788011","572.038385570049","567.884045679937","569.692252720008","568.289402517024","569.412200505962","570.352095444105"
"73","time","uniform","2","475","1","Dionysus","440.34510816203","440.872135629994","443.67244463705","442.263323510997","444.140987320105","443.611701640999","439.077378839022","443.256000309018","440.365477235988","438.07335137995"
"74","time","uniform","3","475","1","Dionysus","778.066714156885","779.075533671887","781.949317820952","787.075598623022","785.400206790888","793.078784546931","784.426957382006","782.311992542003","787.645915679983","785.19712621998"
"75","time","uniform","4","475","1","Dionysus","681.798000261886","679.770976239932","681.10580774094","679.101596241933","677.069930043886","671.549713011016","674.841829210985","672.478706256952","683.20023618103","672.114418393932"
"76","time","uniform","5","475","1","Dionysus","603.194095268962","603.891173440032","600.543373244","602.510130043025","600.418960700976","597.131090973038","591.498161021969","596.624734967016","593.462175868917","595.586286954"
"77","time","uniform","2","500","1","Dionysus","1138.63976270391","1138.44277443294","1115.29709012003","1131.82256964501","1142.38931436301","1149.41255564196","1118.58408800897","1113.08806294587","1120.29853615398","1133.93923539703"
"78","time","uniform","3","500","1","Dionysus","462.758040576009","468.431026389939","461.450599753996","463.000396830961","464.907929296023","463.92450986302","468.16795779008","464.115834277938","466.520282573998","466.141222181963"
"79","time","uniform","4","500","1","Dionysus","1059.10691872914","1054.59793389204","1057.10544639803","1054.94688079506","1052.71865101601","1036.98976450402","1033.01787601307","1021.49410392204","1020.47315851401","1018.23767340009"
"80","time","uniform","5","500","1","Dionysus","368.714184237993","373.181266263011","364.943850704003","366.496217660839","370.378508862923","364.62402486091","363.736367497942","367.708137396025","361.309901756933","362.810115214903"
"81","time","uniform","3","20","2","Dionysus","0.0209573849570006","0.0211224210215732","0.0209241359261796","0.021041402942501","0.0208553329575807","0.0209342630114406","0.0208650839049369","0.0208023809827864","0.0208384129218757","0.0208022219594568"
"82","time","uniform","4","20","2","Dionysus","0.0221701429691166","0.022018100018613","0.0220370668685064","0.0219867549603805","0.0219722189940512","0.0219864679966122","0.0220457279356197","0.0220441679703072","0.0220304490067065","0.022034780937247"
"83","time","uniform","5","20","2","Dionysus","0.0194231459172443","0.0193913478869945","0.0194205119041726","0.0193740788381547","0.0194276729598641","0.0194824410136789","0.019381673890166","0.0195327549008653","0.0195289689581841","0.0194398369640112"
"84","time","uniform","3","40","2","Dionysus","0.418131278129295","0.420428945100866","0.420788255054504","0.420969949103892","0.422408330021426","0.422601004131138","0.422033272101544","0.421136348159052","0.420773982070386","0.419359749183059"
"85","time","uniform","4","40","2","Dionysus","0.45191796508152","0.448283705045469","0.448067847988568","0.455083999084309","0.477868447080255","0.450518531957641","0.448388941003941","0.454477800987661","0.451148728025146","0.449965122970752"
"86","time","uniform","5","40","2","Dionysus","0.494454788044095","0.496803044108674","0.499692139099352","0.498805144103244","0.500836392049678","0.503106890129857","0.500253884121776","0.497466289089061","0.497353009064682","0.503514936077408"
"87","time","uniform","3","60","2","Dionysus","3.1571818869561","3.13174158299807","3.13085072406102","3.13280037790537","3.14636014099233","3.16116086405236","3.20934105897322","3.19560809398536","3.20077447593212","3.21242842404172"
"88","time","uniform","4","60","2","Dionysus","3.18872645311058","3.19177305605263","3.18009804398753","3.1806709630182","3.19045718805864","3.17907158506569","3.17774091905449","3.19570284802467","3.19329966802616","3.188072875957"
"89","time","uniform","5","60","2","Dionysus","3.1336949900724","3.13332504103892","3.13222117500845","3.13896927202586","3.14940027310513","3.13516892003827","3.13649439800065","3.13174053409602","3.13482822012156","3.11887637106702"
"90","time","uniform","3","80","2","Dionysus","13.8767264069756","13.9023609559517","13.9298923839815","13.8940418550046","13.8254649789305","13.798749982845","13.8603207799606","13.8914467819268","13.8709101058776","13.9235666939057"
"91","time","uniform","4","80","2","Dionysus","17.0602221669396","17.0368546299869","17.081539575127","17.0105249410262","17.0371378000127","17.0341879531043","18.4416802639607","17.9420902229613","17.9402663330548","17.9288379870122"
"92","time","uniform","5","80","2","Dionysus","13.2463615209563","13.1978611779632","13.2693973290734","13.2632991980063","13.2965600620955","13.2613620429765","13.3789739400381","13.2144717059564","13.2730676990468","13.2554502880666"
"93","time","uniform","3","100","2","Dionysus","28.9391502951039","29.1407824790804","29.1046050409786","29.0298401940381","28.8229450990912","28.991076795035","29.192384196911","29.0910823679296","29.1376045279903","29.0561259610113"
"94","time","uniform","4","100","2","Dionysus","69.598244806868","69.169195616967","72.0818445549812","69.3560197978513","69.8512288290076","70.2285058439011","69.4656784089748","69.4297316079028","68.9871473639505","68.7965642259223"
"95","time","uniform","5","100","2","Dionysus","46.4226003509248","46.4591246539494","46.496615627897","46.5610711158952","46.6228605739307","46.5870229029097","46.5198901279364","46.7151396508561","46.951491799904","46.7833544989116"
"96","time","uniform","3","120","2","Dionysus","81.9821021730313","82.2410526700551","82.4665663529886","82.3793518680613","83.0198572450317","83.8490606279811","84.9196745731169","82.6555602450389","82.3029634890845","81.9784919481026"
"97","time","uniform","4","120","2","Dionysus","83.8626398890046","84.5823740069754","81.1162640569964","81.0986842039274","81.1071264259517","81.0060481390683","81.1771513930289","81.0019759510178","81.3554757150123","81.2471268870868"
"98","time","uniform","5","120","2","Dionysus","145.02233126096","145.002679157886","145.646805546945","146.44262556592","149.032010492869","145.701714594034","145.258966104942","144.378075969056","145.011916258954","145.598212450976"
"99","time","uniform","3","140","2","Dionysus","150.348038870143","151.033370609977","149.5293404361","148.440808190033","148.492903071106","149.369831533055","149.899248059024","152.63863899","149.91478185507","149.193374472088"
"100","time","uniform","4","140","2","Dionysus","231.167395696044","231.862698875018","231.966198674054","232.419671433046","232.338487291127","233.684530743049","231.042568481062","228.462161047035","233.556726101087","234.764572579064"
"101","time","uniform","5","140","2","Dionysus","152.427559690084","152.071601060103","153.539536929107","157.375696299132","151.995480866055","152.450982046197","152.080797548173","152.552389175049","151.811248338083","152.611991168"
"102","time","uniform","3","160","2","Dionysus","309.417778325034","308.134602643084","309.260369885131","310.704006028012","308.406685851049","309.094334071036","309.808154360042","306.68043406005","306.298514349153","306.179499690072"
"103","time","uniform","4","160","2","Dionysus","932.118043545051","957.018593111075","964.277971644071","957.110393721028","940.581756212981","962.800526014995","963.424095398979","954.849430895993","962.887435262091","948.743361052009"
"104","time","uniform","5","160","2","Dionysus","679.284343569889","680.094400479924","683.970386959962","693.719665906043","689.37859810493","683.326201069867","690.3280098869","678.746541221975","680.994455348002","687.603690398973"
"105","time","uniform","3","180","2","Dionysus","414.451447197935","409.069733563811","410.019010757911","410.508878677967","410.27237156895","409.30375069601","414.136583359912","407.840474600904","407.261317222845","409.861049982836"
"106","time","uniform","4","180","2","Dionysus","723.828733136063","722.617960211122","716.821156110032","715.630478822975","714.648552280967","726.680104251951","719.861804520013","716.06529743399","716.619503436028","724.555676526972"
"107","time","uniform","5","180","2","Dionysus","834.548541639117","860.15151855303","854.94328350306","856.945881019114","840.169149530004","829.930175501038","836.565226448118","845.333130362094","854.248744218028","853.138947686064"
"108","time","uniform","3","200","2","Dionysus","739.943280485109","739.225463227136","744.175618331064","740.536496718065","739.64352517901","750.346413378138","753.28839704697","746.509968318045","749.993828412029","757.195232927101"
"109","time","uniform","4","200","2","Dionysus","1182.24654732901","1165.57475111703","1165.94292238809","1170.47130573401","1221.933708556","1153.73233219294","1148.91170424898","1175.46481915109","1151.25235805602","1168.61377201101"
"110","time","uniform","5","200","2","Dionysus","1921.06571384601","1884.61060619296","1877.60638206906","1925.96857363801","1918.37299676798","1948.37786966097","2636.21366466302","2243.30296037404","2019.55397690996","1958.25423577998"
"111","time","uniform","4","10","3","Dionysus","0.00182188698090613","0.00182389502879232","0.00180884310975671","0.00181228702422231","0.00180803902912885","0.0018193400464952","0.001809480949305","0.00181407702621073","0.00180892099160701","0.0018100090092048"
"112","time","uniform","5","10","3","Dionysus","0.00181141297798604","0.00178889406379312","0.00181145395617932","0.00179288000799716","0.00180335401091725","0.001790224108845","0.00180178310256451","0.00179578096140176","0.00180835998617113","0.00179245800245553"
"113","time","uniform","4","20","3","Dionysus","0.0855335450032726","0.0850716070272028","0.0855123919900507","0.0849598449422047","0.0852132439613342","0.0851263940567151","0.0848908730549738","0.0869754459708929","0.0857176170684397","0.0847145359730348"
"114","time","uniform","5","20","3","Dionysus","0.0822504330426455","0.0823995009995997","0.0826345919631422","0.0823415491031483","0.0822617670055479","0.0823428289731964","0.0820234300335869","0.0822339979931712","0.0823162540327758","0.0823741820640862"
"115","time","uniform","4","30","3","Dionysus","0.877079919097014","0.863996460102499","0.874594360939227","0.861197122023441","0.867130776983686","0.864932197029702","0.866259458009154","0.862084351945668","0.866482987068594","0.86943031696137"
"116","time","uniform","5","30","3","Dionysus","0.869493498001248","0.87029028206598","0.867675960063934","0.867706945049576","0.875058872974478","0.868961165077053","0.882778806029819","0.879248098935932","0.882384515018202","0.877477357978933"
"117","time","uniform","4","40","3","Dionysus","4.29445185908116","4.29408782487735","4.30205383896828","4.30410915100947","4.30616069491953","4.29489054298028","4.29442457889672","4.29832018597517","4.29551468696445","4.27946046099532"
"118","time","uniform","5","40","3","Dionysus","4.92251483898144","4.9215075399261","4.91459656902589","4.92323614098132","4.92501592996996","4.93148457992356","4.93260051088873","4.9406891069375","4.98513795493636","4.92736398789566"
"119","time","uniform","4","50","3","Dionysus","15.4884710711194","15.5204004150582","15.4393026030157","15.4273832601029","15.3765125961509","15.4165215800749","15.4604189160746","15.5139687800547","15.3462792751379","15.3991384430556"
"120","time","uniform","5","50","3","Dionysus","18.9548939878587","18.7242999589071","18.8818541639484","18.7989752339199","20.5461465489352","20.0056871299166","19.7865763459122","19.641160827945","19.6813891649945","19.6728599919006"
"121","time","uniform","4","60","3","Dionysus","41.0885021600407","41.0544380981009","40.8613273919327","40.1537535849493","40.1896032439545","40.2570414340589","40.1502871380653","40.0739481979981","40.557524621021","40.049885412096"
"122","time","uniform","5","60","3","Dionysus","47.4942694019992","46.2218342380365","46.4634189490462","48.0823900990654","46.4757881900296","46.2833001289982","48.0739502890501","46.5150448710192","47.2896917029284","46.9246658789925"
"123","time","uniform","4","70","3","Dionysus","127.810925962985","127.532640686957","127.652395543992","127.300729477894","126.55288591003","126.545836881967","127.032728475053","127.089794751024","127.409876613063","127.527302127099"
"124","time","uniform","5","70","3","Dionysus","123.294901159126","122.941025346983","122.628354249988","122.699732057052","122.633281477029","122.113188606105","121.263702205964","124.064999605063","123.236976664979","121.46211270499"
"125","time","uniform","4","80","3","Dionysus","189.872094710008","191.027962990105","191.574003403075","188.858145455131","188.362047477975","189.109984738054","188.774731312064","191.391701375134","192.461283025099","191.329195126076"
"126","time","uniform","5","80","3","Dionysus","221.564995217952","222.858087352128","224.461773662944","223.857723155059","221.853061773116","222.116300510126","219.702343304059","223.352729395032","219.571113744052","223.785682565067"
"127","time","uniform","4","90","3","Dionysus","453.954157486907","451.845115966978","451.119771496044","449.856834710925","453.762610121979","452.938275297056","454.194279675023","453.921374737984","452.292446944979","453.633067748975"
